Token,p,log_p,potential_stream,reconstructed_turbulence
Best,0.854492,-0.156982,3.8810690118033295,-7.564747
Special,0.382812,-0.960938,11.445815660439209,-0.056272
Visual,0.993164,-0.006813,11.502088107147367,7.956362
Effects,0.998047,-0.001951,3.54572584377781,3.130066
.,0.907227,-0.096741,0.41566030241397933,-10.192646
12,0.053131,-2.935547,10.608306353956475,6.158477
Years,1.000000,0.000000,4.449829399080688,-5.976155
a,0.946289,-0.055084,10.42598479716252,-0.182322
Sl,1.000000,0.000000,10.608306353956475,7.385068
ave,1.000000,0.000000,3.2232386447644936,3.167128
won,0.422852,-0.860840,0.05611063476010328,-4.787640
Best,0.006519,-5.031250,4.843750866352749,4.017354
Film,0.620117,-0.477783,0.8263964002654351,-6.242296
and,0.197632,-1.621094,7.068692347168634,0.257020
Best,0.821289,-0.197021,6.811672143165028,6.265599
Actor,0.671875,-0.397705,0.5460726690682555,-3.965751
in,0.131714,-2.027344,4.511823926312463,1.090700
a,0.959473,-0.041138,3.4211241488906436,-3.805573
Lead,0.348389,-1.054688,7.226696794060235,-3.599464
ing,0.997070,-0.002926,10.826161111371626,6.960270
Role,0.999512,0.000000,3.865891531936501,-5.709420
for,0.704590,-0.349854,9.57531173838068,0.791555
Chi,0.975098,-0.025070,8.78375706190543,0.138585
w,1.000000,0.000000,8.645172323996233,0.165098
et,0.987793,-0.012619,8.480074648107207,0.174353
el,1.000000,0.000000,8.305721260962429,-0.776529
E,1.000000,0.000000,9.082250050461425,0.042560
j,1.000000,0.000000,9.03969043604263,-2.484907
io,1.000000,0.000000,11.52459708583063,10.143901
for,1.000000,0.000000,1.3806957201147716,1.348356
.,0.353271,-1.040039,0.0323398524257876,-8.111327
C,0.004021,-5.515625,8.14366643286067,-1.301489
ate,0.900879,-0.103821,9.445155544150794,-1.673976
Bl,1.000000,0.000000,11.119131977722466,0.000000
anche,1.000000,0.000000,11.119131977722466,11.119132
