Token,p,log_p,potential_stream,reconstructed_turbulence
T,0.029327,-3.529297,2.366735269828433,-8.741538
aye,0.218506,-1.521484,11.108273450400471,-0.010859
Dig,0.999023,-0.000976,11.119131977722466,10.417685
gs,1.000000,0.000000,0.701446706887941,0.005366
who,0.097595,-2.326172,0.6960811354264068,-4.971047
had,0.103638,-2.267578,5.667128159352987,2.990289
hosted,0.729980,-0.314941,2.6768395392242064,2.304920
the,0.805664,-0.216064,0.37191978445216206,0.363956
show,0.042023,-3.169922,0.007963626971501896,-11.105739
consec,0.000716,-7.242188,11.11370271406147,10.771332
utively,0.999512,-0.000976,0.3423708624881138,-0.209626
in,0.082581,-2.494141,0.5519967595279007,-3.388858
the,0.166138,-1.794922,3.940855128035247,3.468902
previous,0.460693,-0.774902,0.47195296051746527,-6.874063
four,0.058563,-2.837891,7.346015512040243,3.838457
years,0.915039,-0.088745,3.5075587195175535,3.507551
.,0.897461,-0.108215,7.457245443221941e-06,-0.429411
Like,0.000001,-14.156250,0.42941859101428614,-1.726654
in,0.103577,-2.267578,2.156072574320588,-2.118930
the,0.648926,-0.432373,4.275002886639189,3.361280
previous,0.499756,-0.694336,0.9137225328915041,-5.969737
two,0.129761,-2.042969,6.883459572648167,3.677047
years,0.857422,-0.153564,3.2064120963514626,3.178432
",",0.932129,-0.070679,0.027980304301863233,-1.618687
film,0.003588,-5.628906,1.6466675647043199,-5.567609
and,0.393799,-0.931641,7.214276863446786,7.056884
television,0.911621,-0.092285,0.15739299447926963,-4.560427
nominations,0.020782,-3.873047,4.71782023437385,1.624656
were,0.824219,-0.192993,3.093164328293413,2.248374
announced,0.436768,-0.829102,0.8447901062062125,-0.533997
separately,0.073303,-2.613281,1.3787873639017587,-0.000046
.,0.352783,-1.041992,1.3788337256621455,1.286578
The,0.268066,-1.317383,0.09225541516593037,-2.475955
television,0.011658,-4.453125,2.568209918727818,-2.666670
nominations,0.339111,-1.081055,5.234879916458662,-0.318638
were,0.914551,-0.089600,5.553518067344015,1.647620
announced,0.784180,-0.243286,3.905897679266966,0.449189
on,0.796387,-0.227783,3.456708380824515,3.266306
December,0.474609,-0.745605,0.1904027735811012,-3.073117
6,0.024979,-3.689453,3.263519488324197,2.252680
",",0.948730,-0.053253,1.0108393258009347,-4.787566
20,0.202393,-1.597656,5.798405429373153,4.816556
22,0.909668,-0.094055,0.9818492715950932,-0.523817
.,0.251221,-1.380859,1.5056663361283356,-1.889218
The,0.292725,-1.227539,3.3948840877131494,-1.833984
film,0.435303,-0.831543,5.2288679986769395,-0.330222
nominations,0.690430,-0.370361,5.5590903117118415,-1.367246
were,0.971191,-0.028870,6.926336668051097,2.381031
announced,0.978027,-0.022217,4.545305821734336,-1.393689
on,0.926758,-0.076111,5.938994851828128,5.582460
December,0.815430,-0.204224,0.35653439543714055,-2.896907
14,0.044739,-3.107422,3.253441713270185,-1.187423
",",0.945801,-0.056030,4.440864685846808,-1.855525
20,0.889160,-0.117798,6.296389792604342,3.057909
22,0.987793,-0.012619,3.2384804934827467,3.238379
.,0.828613,-0.188110,0.00010163333794341406,-0.004619
Everything,0.000010,-11.523438,0.004720493088705629,-9.384245
Every,0.000496,-7.609375,9.388965527350134,9.379429
where,0.987305,-0.012619,0.00953673726400663,-0.000732
All,0.001179,-6.742188,0.010268628964119442,-9.138126
at,0.001801,-6.320312,9.148394359537363,9.148375
Once,0.955078,-0.045807,1.9069281962429208e-05,-1.277563
led,0.000002,-12.953125,1.2775825073570077,-1.803137
the,0.384521,-0.956055,3.0807192674817028,-0.656035
film,0.395020,-0.928711,3.736754676565097,-1.763976
nominations,0.493408,-0.706543,5.500731040878345,5.485584
with,0.940918,-0.060638,0.015146935754310649,0.012636
14,0.001901,-6.265625,0.0025105235677116188,-0.283689
âĢĶ,0.000253,-8.281250,0.28619979865627476,-2.108347
a,0.040070,-3.218750,2.3945469050552375,2.377571
record,0.264893,-1.328125,0.01697610670274636,-5.486609
shared,0.001600,-6.437500,5.503585597723637,4.526598
with,0.941406,-0.060638,0.9769878311158007,0.831910
The,0.189941,-1.661133,0.14507740166946823,-3.782968
Shape,0.012589,-4.375000,3.9280453114509206,-6.492849
of,0.999512,-0.000976,10.420893984273281,9.283518
Water,0.999512,-0.000976,1.137376257113094,-6.960229
(,0.216064,-1.532227,8.097605081303845,4.475258
2017,0.702637,-0.352783,3.6223473659987304,2.376625
"),",0.526855,-0.641113,1.2457222730936688,0.240467
The,0.242188,-1.417969,1.0052556367940513,-9.683397
F,0.131348,-2.031250,10.68865246999612,1.178958
avour,0.986816,-0.013580,9.509694065288365,4.446121
ite,1.000000,0.000000,5.063573393249255,-6.044608
(,0.961914,-0.038330,11.108180980190266,5.209697
2018,0.963867,-0.036438,5.8984840797588225,3.534143
"),",0.857910,-0.153564,2.364341029048484,2.105025
and,0.565430,-0.569824,0.2593161788244381,-5.862999
The,0.050415,-2.988281,6.122315039179145,-2.288767
Irish,0.639160,-0.447510,8.411081776620255,3.193288
man,1.000000,0.000000,5.217793902688319,-6.284294
(,0.991211,-0.008751,11.502088107147367,10.453310
2019,0.998047,-0.001951,1.048777725523283,-0.612666
)âĢĶ,0.091003,-2.396484,1.6614439890583463,-5.740500
follow,0.144165,-1.936523,7.401943914967856,2.373376
ed,0.999512,0.000000,5.0285681425532305,4.606002
by,0.982422,-0.017426,0.42256607348389064,0.381167
The,0.082153,-2.500000,0.041399061715089586,0.041399
F,0.005409,-5.218750,0.0,-0.000013
abel,0.000000,-25.890625,1.3051470794128296e-05,-2.643307
mans,0.000001,-13.679688,2.6433196387407096,1.896930
with,0.452148,-0.793457,0.7463899695202336,-0.260268
11,0.097656,-2.326172,1.00665790236426,1.006377
.,0.257568,-1.356445,0.0002807431233618662,-3.518418
ABC,0.000026,-10.539062,3.518698861446939,3.515760
's,0.598145,-0.514160,0.002938372649860018,-1.113389
first,0.000445,-7.718750,1.1163277320245921,-0.924238
-,0.223022,-1.500977,2.0405657242356248,2.032636
year,0.255127,-1.366211,0.007929798886706162,-10.234786
mock,0.000688,-7.281250,10.242715533149898,1.961327
ument,0.982422,-0.018387,8.281388093205702,7.748910
ary,0.997070,-0.002926,0.5324780269759392,0.532478
comedy,0.046204,-3.074219,0.0,-0.000279
Abbott,0.000000,-17.640625,0.0002790185548437332,0.000279
